SMILES,clogp,qed,sas
Nc(n4)c(n3)c(nc4)n(c3)[C@H](O1)[C@H](O)[C@H](O2)[C@@H](COP(O)(=O)2)1,-0.8174,0.565067144,4.350925833
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C(OC(=O)C=Cc(c2)c(O)ccc2)1,-1.2515,0.341825806,3.629753592
OC[C@@H](O1)[C@@H](O4)[C@@H](OP(O)(=O)4)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2,-0.8174,0.595072045,4.330154369
OC[C@@H](O)[C@@H](O)[C@@H](O)CN(C(C)2)C(=N1)C(=NC(C)2)C(=O)NC(=O)1,-2.7567,0.366031966,4.821926498
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C(Oc(c2)c(ccc2)C=CC(O)=O)1,-1.0369,0.432971179,3.530848098
COc(c1)c(O)c(OC)cc(C=CC(=O)OC(C(O)=O)C(O)=O)1,0.5036,0.371011948,2.515059067
O=C(N4)c(n3)c(N=C4)n(c3)[C@H](O1)[C@H](O)[C@H](O2)[C@@H](COP(O)(=O)2)1,-1.1063,0.553358158,4.536542458
NC(N4)=Nc(c3C(=O)4)n(cn3)[C@H](O1)C[C@H](O2)[C@@H](COP(O)(=O)2)1,-0.4949,0.587286358,4.48641185
Nc(n3)c(n2)c(nc3)n(c2)[C@@H](C1)O[C@H](COP(O)(O)=O)[C@@H](O)1,-0.8338,0.518964727,3.733017771
O[C@@H](C1)[C@@H](COP(O)(O)=O)O[C@H]1n(c3)c(n2)c(n3)c(O)nc2,-0.7104,0.526374418,3.942264934
OCC(=C1)C(N)=NC(=O)N1[C@@H](C2)O[C@H](COP(O)(O)=O)[C@@H](O)2,-1.9245,0.380175332,3.884028065
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](N)[C@@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](N)[C@H](O)O2,-5.4644,0.242492978,4.556503163
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(=O)O2,-5.189,0.242425808,4.385386179
OC[C@@H](O1)[C@H](O)C(=O)[C@@H](O)[C@@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.189,0.259151342,4.587067894
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@@H](OC[C@@H](O2)[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)2)1,-5.3972,0.243258468,4.28360682
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@@H](O2)[C@@H](O)[C@H](O)[C@@H](O)C(O)2)1,-5.3972,0.243258468,4.28360682
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1OC(O2)[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)2,-5.3972,0.243258468,4.105691932
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@@H](O2)[C@@H](O)[C@H](O)[C@@H](O)C(O)2)1,-5.3972,0.243258468,4.28360682
OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)C1O[C@@H]([C@@H](CO)2)[C@H](O)[C@@H](O)C(O)O2,-5.3972,0.243258468,4.282024727
OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@@H](O2)[C@@H](O)[C@H](O)[C@@H](O)C(O)2)1,-5.3972,0.243258468,4.28360682
